Ranking,Pais,1990,Indice_Ingreso_1990,1991,Indice_Ingreso_1991,1992,Indice_Ingreso_1992,1993,Indice_Ingreso_1993,1994,Indice_Ingreso_1994,1995,Indice_Ingreso_1995,1996,Indice_Ingreso_1996,1997,Indice_Ingreso_1997,1998,Indice_Ingreso_1998,1999,Indice_Ingreso_1999,2000,Indice_Ingreso_2000,2001,Indice_Ingreso_2001,2002,Indice_Ingreso_2002,2003,Indice_Ingreso_2003,2004,Indice_Ingreso_2004,2005,Indice_Ingreso_2005,2006,Indice_Ingreso_2006,2007,Indice_Ingreso_2007,2008,Indice_Ingreso_2008,2009,Indice_Ingreso_2009,2010,Indice_Ingreso_2010,2011,Indice_Ingreso_2011,2012,Indice_Ingreso_2012,2013,Indice_Ingreso_2013,2014,Indice_Ingreso_2014,2015,Indice_Ingreso_2015,2016,Indice_Ingreso_2016,2017,Indice_Ingreso_2017,2018,Indice_Ingreso_2018,2019,Indice_Ingreso_2019
88, Azerbaijan,7684,0.6558424963665765,7510,0.6523825982029622,5724,0.611360755149331,4340,0.5695495085140446,3441,0.5344876271638498,2992,0.5133670047264443,2995,0.5135183884685747,3143,0.5208043390529938,3448,0.5347946065465098,3810,0.5498752307665986,3960,0.5557082230799899,4280,0.567446610542331,4612,0.5787317716700675,5013,0.5913257314758763,5282,0.5992214561850852,6298,0.6257962844861301,8325,0.6679455031552569,10022,0.695969308162129,11518,0.7169854432117693,12855,0.7335746572894987,13509,0.7410705395436014,13012,0.7354083481739556,13295,0.7386584657198845,13992,0.7463770681321529,14516,0.7519307456350323,14441,0.7511482609034004,13434,0.7402295634744274,13513,0.741115260358488,13598,0.7420624610695215,13784,0.7441146704178953
58, Bahamas,36827,0.8925605775732647,34595,0.8831162546930382,33564,0.8785460485942436,32603,0.874157916556576,33032,0.8761325895696104,39247,0.902174328720227,43187,0.9166250021291312,35621,0.8875310379923386,36648,0.891824571328691,39337,0.9025203284598211,40369,0.9064321601101497,40550,0.9071079255787883,41037,0.9089112769680475,39988,0.9049997356810208,39714,0.903961131042433,40163,0.9056593605140901,40314,0.9062262166892859,40086,0.9053694803938204,39145,0.9017812352082407,36564,0.8914779427157922,36347,0.89057878647064,36182,0.8898914961819164,37182,0.8940097309443451,35986,0.889070994127138,34564,0.8829808354999791,34615,0.8832035575311163,34330,0.8819547032658444,34260,0.8816463812110953,33481,0.878172042117713,33747,0.8793674081625353
42, Bahrain,40847,0.9082102696779594,40555,0.9071265502913919,44977,0.9227596357945859,47353,0.9305358228538797,44958,0.9226958106110886,46029,0.9262521024052223,46540,0.9279198370206156,44980,0.9227697109903862,46165,0.926697762521262,46556,0.9279717595892732,48262,0.933408045763737,46704,0.9284511991563308,45267,0.9237304773550512,45702,0.9251751396904537,45927,0.9259169923325822,46336,0.9272562550670865,45910,0.9258610683049509,46257,0.9269984946386608,44586,0.921440716906287,40317,0.9062374572095411,40353,0.9063722782505891,37769,0.8963758508705124,43387,0.9173229299139224,44951,0.9226722892701372,45631,0.924940285714599,45634,0.9249502165137949,45484,0.924452875040644,44966,0.9227226876595789,43671,0.9183084793152737,42522,0.9142809291111224
133, Bangladesh,1554,0.4144089135197574,1572,0.41614853809825886,1625,0.4211574134898446,1669,0.4251931436191794,1705,0.42841674332722063,1752,0.4325243839726285,1785,0.4353431477740612,1829,0.4390214989670821,1884,0.4434969489841931,1936,0.44760971508976366,2002,0.4526735098534794,2061,0.45706086632359255,2120,0.46132438213301846,2182,0.46567868424232484,2268,0.47151796988896905,2383,0.47898946011392723,2538,0.48850841393960837,2703,0.4980227948289288,2863,0.5067096713977466,2980,0.5127599480565946,3117,0.5195495557943985,3274,0.5269726577195051,3462,0.5354067000726922,3614,0.5418973738274222,3742,0.5471548739480444,3936,0.5547899483288306,4143,0.5625323376206435,4340,0.5695495085140446,4643,0.5797437101218003,4976,0.590206682998107
58, Barbados,13867,0.7450215210460993,13314,0.7388741866702389,12376,0.7278385081167631,12338,0.7273739841776194,12762,0.7324778665071044,12907,0.7341844631042164,13348,0.7392594464145119,13998,0.7464418294327716,13494,0.7409027184715905,13461,0.7405328545037929,14912,0.7559963756896759,14441,0.7511482609034004,14450,0.7512423733693168,14772,0.7545715030850025,14868,0.7555500051713993,15379,0.7606544336223485,15904,0.7657250282229215,16477,0.7710716185183524,16390,0.7702719179479216,15299,0.759866606130139,15166,0.7585476801554404,14408,0.7508026793366412,14756,0.7544078013823056,14433,0.7510645561252637,14399,0.750708292442716,14669,0.7535145550322545,14990,0.7567844416231653,15079,0.7576786515638216,14970,0.7565827650493091,14936,0.7562392957067235
53, Belarus,8891,0.6778814194541295,8780,0.6759836879487461,7920,0.6604120773932914,7301,0.648119179986642,6431,0.628953035751853,5784,0.6129359073926584,5976,0.6178687777636142,6669,0.6344423823744245,7263,0.6473309170343878,7555,0.6532850247717148,8024,0.6623827270260525,8449,0.6701788704977231,8934,0.678610217103401,9661,0.6904277510134902,10834,0.7077375557732465,11919,0.7221549836909187,13179,0.7373347082991075,14310,0.7497717218090775,15821,0.7649346323641371,15784,0.764580950059793,16988,0.7756851239015863,17850,0.7831618230604108,18145,0.7856378579814776,18076,0.7850623433312404,18462,0.7882540714828389,17483,0.7800237115377706,17004,0.7758273274718717,17585,0.7809024458854051,18187,0.7859871007175798,18546,0.7889397990674819
14, Belgium,35737,0.8880221526613317,36389,0.8907532349259597,36790,0.8924087359461498,36649,0.8918286930725927,37991,0.8972611325059388,38723,0.9001439479342367,39206,0.9020164434755479,40637,0.9074316683863909,41346,0.910044434048593,42663,0.9147809908021666,44239,0.9202604949994695,44257,0.9203219441768863,44750,0.9219953235100108,45106,0.9231922635416158,46265,0.9270246169847849,47010,0.929437673281396,47980,0.9325228223029147,49357,0.9367969959408673,49674,0.9377640634328389,48032,0.9326864455750009,48791,0.935054759894315,48313,0.9335675869082672,49400,0.9369285389577635,49465,0.9371271658521024,49849,0.9382952930026123,50238,0.9394694909580948,50492,0.9402312945338152,51319,0.9426853680129843,51619,0.9435658367944849,52085,0.9449234014904506
110, Belize,4674,0.580748914576687,5109,0.5941911306150554,5590,0.6077824601987811,5817,0.6137952906494099,5638,0.609074002642221,5570,0.6072410412271179,5448,0.6038956877240578,5478,0.6047252105740857,5404,0.6026707543288712,5619,0.6085640867460449,6080,0.6204749797812203,6084,0.6205743258758107,6222,0.6239623585121075,6524,0.6311218392013194,6533,0.6313300802670655,6539,0.6314687483288658,6680,0.6346913318719558,6382,0.6277976830755219,6481,0.6301229279949198,6698,0.6350978208547066,6524,0.6311218392013194,6708,0.6353231763065886,6627,0.6334880559875429,6579,0.6323899631454489,6602,0.6329171288154144,6846,0.6383992293216736,6671,0.6344876764471418,6507,0.6307277099878618,6453,0.6294689049415787,6382,0.6277976830755219
158, Benin,2133,0.46224783881009296,2158,0.4640080047453027,2103,0.4601082034425146,2190,0.4662314963190736,2150,0.46344698002842977,2209,0.4675363732199889,2235,0.46930392219754546,2307,0.4740934086785722,2346,0.47662567237365194,2404,0.480314795692951,2470,0.4844060093581121,2523,0.4876130009361044,2554,0.4894577068132812,2562,0.48993012543564773,2599,0.4920960459228512,2575,0.49069466843740256,2596,0.4919215830760702,2670,0.4961672572088863,2735,0.4998005951964571,2715,0.4986919243012764,2690,0.4972945440180757,2704,0.4980786689673058,2744,0.5002968546617532,2861,0.5066041118327382,2962,0.5118447641178838,2922,0.5097909495915298,2935,0.5104615071236085,3011,0.5143232161141252,3129,0.5201299819893468,3254,0.5260470682341726
129, Bhutan,2511,0.48689282921976007,2430,0.48193973855142036,2444,0.4828075210936473,2534,0.4882701556388251,2779,0.502211401601238,2792,0.5029163838565938,2979,0.5127092497069393,3187,0.5229043577666925,3034,0.5154726945548226,3232,0.5250223260710035,4053,0.559214728469822,4303,0.5682561853152307,4609,0.5786334814173558,4839,0.5859894686630517,5039,0.5921071596044943,5372,0.6017736129753432,5734,0.6116244237995886,6647,0.6339432491341056,6796,0.6372919400108731,7085,0.6435827570507627,7718,0.6565094101712098,8179,0.6652728526328703,8355,0.6684888696813704,8518,0.6714074793176814,8896,0.6779663442505305,9372,0.6858400914903503,9851,0.693369683788336,10175,0.6982579618247773,10327,0.7004978303123313,10746,0.706505583758038
107, Bolivia (Plurinational State of),4352,0.5699665977750219,4515,0.5755208682744835,4546,0.5765544729413703,4641,0.5796786279444126,4782,0.5841995762547078,4902,0.58794340435095,5024,0.5916568291565437,5184,0.5963925063773259,5368,0.6016610947344759,5262,0.5986484064409983,5276,0.5990497694099673,5268,0.5988205497432519,5297,0.5996498213404208,5276,0.5990497694099673,5355,0.6012948305416151,5518,0.6058242021905276,5703,0.6108055483706237,5847,0.6145723280180954,6133,0.6217860424228252,6199,0.623402937242867,6301,0.6258682214974333,6481,0.6301229279949198,6608,0.6330543482628942,6937,0.640393899755551,7314,0.6483879073251081,7718,0.6565094101712098,8057,0.6630026942087982,8186,0.6654020784421153,8445,0.6701073394290822,8554,0.6720445475451953
